m, err_m, alpha_r [rad], err_alpha_r [rad], alpha_l [rad], err_alpha_l [rad], g [m], err_g [m]
1, 0, 0.4562, 0.0005, 0.5433, 0.0005, 9.941e-6, 0.006e-6
2, 0, 0.4130, 0.0005, 0.5869, 0.0005, 9.941e-6, 0.006e-6
3, 0, 0.3691, 0.0005, 0.6307, 0.0005, 9.941e-6, 0.006e-6
4, 0, 0.3257, 0.0005, 0.6749, 0.0005, 9.941e-6, 0.006e-6
5, 0, 0.2814, 0.0005, 0.7196, 0.0005, 9.941e-6, 0.006e-6
6, 0, 0.2371, 0.0005, 0.7645, 0.0005, 9.941e-6, 0.006e-6
7, 0, 0.1922, 0.0010, 0.8102, 0.0010, 9.941e-6, 0.006e-6
8, 0, 0.1468, 0.0010, 0.8569, 0.0010, 9.941e-6, 0.006e-6
9, 0, 0.1006, 0.0010, 0.9039, 0.0010, 9.941e-6, 0.006e-6
10, 0, 0.0530, 0.0020, 0.9525, 0.0020, 9.941e-6, 0.006e-6
11, 0, 0.0052, 0.0020, 1.0015, 0.0020, 9.941e-6, 0.006e-6